SORT
NOTES, 0, 4
STACK, 0, 0
STATUE, 0, 0
OBSERVE, 0, 2
EXPRESS, 0, 5
EXPRESS, 0, 6
SUSTAIN, 0, 0
SUSTAIN, 0, 2
ASSEMBLE, 0, 1
ASSEMBLE, 0, 2
HOLD, 1, 1
NOTES, 1, 1
COLUMN, 1, 1
DEVOTE, 1, 3
OBSERVE, 1, 0
COMPLETE, 1, 1
CARRY, 2, 2
CARRY, 2, 3
OBSERVE, 2, 4
EXPRESS, 2, 3
MEET, 3, 3
NOTES, 3, 2
STACK, 3, 1
ACCEPT, 3, 5
STATUE, 3, 1
STATUE, 3, 3
DEVOTE, 3, 4
SUSTAIN, 3, 3
COMPLETE, 3, 6
MEET
COLUMN, 0, 4
ASSEMBLE, 0, 4
COMPLETE, 0, 2
NOTES, 1, 3
ACCEPT, 1, 3
STATUE, 1, 5
DEVOTE, 1, 1
DEVOTE, 1, 5
OBSERVE, 1, 3
OBSERVE, 1, 6
EXPRESS, 1, 0
EXPRESS, 1, 4
ASSEMBLE, 1, 3
ASSEMBLE, 1, 7
COMPLETE, 1, 5
COMPLETE, 1, 7
SORT, 3, 3
NOTES, 3, 2
STACK, 3, 1
ACCEPT, 3, 5
STATUE, 3, 1
STATUE, 3, 3
DEVOTE, 3, 4
SUSTAIN, 3, 3
COMPLETE, 3, 6
HOLD
SORT, 1, 1
NOTES, 1, 1
COLUMN, 1, 1
DEVOTE, 1, 3
OBSERVE, 1, 0
COMPLETE, 1, 1
COLUMN, 2, 2
ASSEMBLE, 2, 6
COMPLETE, 2, 4
DEVOTE, 3, 0
NOTES
COLUMN, 0, 5
SUSTAIN, 0, 6
SORT, 1, 1
HOLD, 1, 1
COLUMN, 1, 1
DEVOTE, 1, 3
OBSERVE, 1, 0
COMPLETE, 1, 1
SORT, 2, 3
MEET, 2, 3
STACK, 2, 1
ACCEPT, 2, 5
STATUE, 2, 1
STATUE, 2, 3
DEVOTE, 2, 4
SUSTAIN, 2, 3
COMPLETE, 2, 6
MEET, 3, 1
MEET, 3, 2
ACCEPT, 3, 3
STATUE, 3, 5
DEVOTE, 3, 1
DEVOTE, 3, 5
OBSERVE, 3, 3
OBSERVE, 3, 6
EXPRESS, 3, 0
EXPRESS, 3, 4
ASSEMBLE, 3, 3
ASSEMBLE, 3, 7
COMPLETE, 3, 5
COMPLETE, 3, 7
SORT, 4, 0
STACK, 4, 0
STATUE, 4, 0
OBSERVE, 4, 2
EXPRESS, 4, 5
EXPRESS, 4, 6
SUSTAIN, 4, 0
SUSTAIN, 4, 2
ASSEMBLE, 4, 1
ASSEMBLE, 4, 2
CARRY
STACK, 0, 3
ACCEPT, 0, 1
ACCEPT, 0, 2
COLUMN, 0, 0
COMPLETE, 0, 0
STACK, 1, 2
ACCEPT, 1, 0
STATUE, 1, 2
SUSTAIN, 1, 4
ASSEMBLE, 1, 0
SORT, 2, 2
OBSERVE, 2, 4
EXPRESS, 2, 3
STACK
SORT, 0, 0
NOTES, 0, 4
STATUE, 0, 0
OBSERVE, 0, 2
EXPRESS, 0, 5
EXPRESS, 0, 6
SUSTAIN, 0, 0
SUSTAIN, 0, 2
ASSEMBLE, 0, 1
ASSEMBLE, 0, 2
SORT, 1, 3
MEET, 1, 3
NOTES, 1, 2
ACCEPT, 1, 5
STATUE, 1, 1
STATUE, 1, 3
DEVOTE, 1, 4
SUSTAIN, 1, 3
COMPLETE, 1, 6
CARRY, 2, 1
ACCEPT, 2, 0
STATUE, 2, 2
SUSTAIN, 2, 4
ASSEMBLE, 2, 0
CARRY, 3, 0
ACCEPT, 3, 1
ACCEPT, 3, 2
COLUMN, 3, 0
COMPLETE, 3, 0
ACCEPT
CARRY, 0, 1
STACK, 0, 2
STATUE, 0, 2
SUSTAIN, 0, 4
ASSEMBLE, 0, 0
CARRY, 1, 0
STACK, 1, 3
COLUMN, 1, 0
COMPLETE, 1, 0
MEET, 3, 1
MEET, 3, 2
NOTES, 3, 3
STATUE, 3, 5
DEVOTE, 3, 1
DEVOTE, 3, 5
OBSERVE, 3, 3
OBSERVE, 3, 6
EXPRESS, 3, 0
EXPRESS, 3, 4
ASSEMBLE, 3, 3
ASSEMBLE, 3, 7
COMPLETE, 3, 5
COMPLETE, 3, 7
EXPRESS, 4, 2
COMPLETE, 4, 3
SORT, 5, 3
MEET, 5, 3
NOTES, 5, 2
STACK, 5, 1
STATUE, 5, 1
STATUE, 5, 3
DEVOTE, 5, 4
SUSTAIN, 5, 3
COMPLETE, 5, 6
COLUMN
CARRY, 0, 0
STACK, 0, 3
ACCEPT, 0, 1
ACCEPT, 0, 2
COMPLETE, 0, 0
SORT, 1, 1
HOLD, 1, 1
NOTES, 1, 1
DEVOTE, 1, 3
OBSERVE, 1, 0
COMPLETE, 1, 1
HOLD, 2, 2
ASSEMBLE, 2, 6
COMPLETE, 2, 4
STATUE, 3, 4
SUSTAIN, 3, 1
MEET, 4, 0
ASSEMBLE, 4, 4
COMPLETE, 4, 2
NOTES, 5, 0
SUSTAIN, 5, 6
STATUE
SORT, 0, 0
NOTES, 0, 4
STACK, 0, 0
OBSERVE, 0, 2
EXPRESS, 0, 5
EXPRESS, 0, 6
SUSTAIN, 0, 0
SUSTAIN, 0, 2
ASSEMBLE, 0, 1
ASSEMBLE, 0, 2
SORT, 1, 3
MEET, 1, 3
NOTES, 1, 2
STACK, 1, 1
ACCEPT, 1, 5
DEVOTE, 1, 4
SUSTAIN, 1, 3
COMPLETE, 1, 6
CARRY, 2, 1
STACK, 2, 2
ACCEPT, 2, 0
SUSTAIN, 2, 4
ASSEMBLE, 2, 0
COLUMN, 4, 3
SUSTAIN, 4, 1
MEET, 5, 1
MEET, 5, 2
NOTES, 5, 3
ACCEPT, 5, 3
DEVOTE, 5, 1
DEVOTE, 5, 5
OBSERVE, 5, 3
OBSERVE, 5, 6
EXPRESS, 5, 0
EXPRESS, 5, 4
ASSEMBLE, 5, 3
ASSEMBLE, 5, 7
COMPLETE, 5, 5
